iter	Passed	Remaining
0	212	211839
1	367	183598
2	529	176122
3	720	179458
4	906	180384
5	1058	175307
6	1238	175721
7	1400	173616
8	1598	176000
9	1738	172126
10	1943	174739
11	2104	173274
12	2241	170155
13	2424	170778
14	2578	169326
15	2716	167079
16	2966	171552
17	3120	170264
18	3261	168381
19	3443	168729
20	3591	167422
21	3775	167826
22	3954	167959
23	4085	166162
24	4243	165485
25	4415	165397
26	4600	165793
27	4767	165487
28	4936	165300
29	5126	165746
30	5270	164760
31	5426	164145
32	5650	165582
33	5787	164424
34	5948	163997
35	6136	164313
36	6269	163172
37	6447	163224
38	6550	161416
39	6709	161017
40	6944	162437
41	7197	164174
42	7418	165103
43	7516	163320
44	7682	163049
45	7841	162624
46	8000	162226
47	8145	161549
48	8312	161321
49	8450	160565
50	8690	161707
51	8827	160938
52	8967	160237
53	9162	160511
54	9298	159772
55	9438	159108
56	9593	158716
57	9731	158058
58	9885	157668
59	10053	157507
60	10204	157089
61	10368	156869
62	10568	157182
63	10645	155687
64	10794	155281
65	11004	155723
66	11186	155781
67	11448	156918
68	11656	157283
69	11830	157176
70	12002	157053
71	12165	156799
72	12385	157280
73	12522	156699
74	12727	156968
75	12907	156933
76	13044	156363
77	13211	156164
78	13382	156021
79	13535	155658
80	13705	155494
81	13909	155719
82	14216	157069
83	14397	157006
84	14626	157447
85	14763	156906
86	14903	156396
87	15066	156140
88	15206	155649
89	15362	155329
90	15537	155203
91	15667	154632
92	15820	154295
93	16004	154253
94	16143	153783
95	16286	153363
96	16443	153080
97	16584	152643
98	16834	153209
99	16997	152974
100	17140	152567
101	17305	152355
102	17460	152059
103	17609	151712
104	17814	151849
105	18051	152245
106	18325	152942
107	18624	153828
108	18838	153990
109	19059	154208
110	19237	154070
111	19411	153908
112	19617	153989
113	19789	153802
114	20024	154098
115	20194	153899
116	20396	153930
117	20619	154119
118	20855	154398
119	21028	154211
120	21174	153821
121	21413	154105
122	21610	154083
123	21796	153983
124	21978	153846
125	22154	153674
126	22341	153576
127	22508	153338
128	22695	153241
129	22865	153025
130	23019	152701
131	23253	152909
132	23391	152483
133	23535	152101
134	23768	152294
135	23932	152039
136	24176	152292
137	24347	152082
138	24688	152929
139	24871	152782
140	25087	152839
141	25261	152637
142	25472	152657
143	25616	152274
144	25810	152191
145	25983	151984
146	26123	151589
147	26322	151530
148	26478	151230
149	26644	150983
150	26822	150812
151	26949	150351
152	27104	150047
153	27269	149807
154	27385	149296
155	27521	148897
156	27716	148819
157	27838	148353
158	28051	148371
159	28220	148156
160	28374	147862
161	28607	147979
162	28756	147663
163	28954	147597
164	29097	147251
165	29230	146857
166	29403	146667
167	29558	146384
168	29715	146117
169	29873	145851
170	30009	145483
171	30193	145350
172	30373	145194
173	30527	144915
174	30732	144880
175	30889	144618
176	31045	144350
177	31235	144246
178	31381	143933
179	31579	143861
180	31763	143725
181	31918	143455
182	32080	143222
183	32264	143085
184	32440	142911
185	32579	142578
186	32721	142259
187	32893	142073
188	33039	141772
189	33223	141634
190	33366	141328
191	33512	141032
192	33722	141006
193	33898	140834
194	34106	140800
195	34275	140601
196	34431	140345
197	34663	140402
198	34827	140186
199	35012	140048
200	35183	139857
201	35335	139592
202	35535	139516
203	35679	139219
204	35864	139086
205	36023	138849
206	36179	138602
207	36373	138500
208	36529	138252
209	36701	138066
210	36878	137900
211	37027	137630
212	37170	137337
213	37339	137143
214	37469	136805
215	37672	136736
216	37836	136525
217	38006	136334
218	38158	136081
219	38332	135905
220	38517	135771
221	38680	135556
222	38857	135393
223	39006	135129
224	39239	135157
225	39387	134892
226	39539	134642
227	39697	134414
228	39862	134209
229	40068	134142
230	40234	133940
231	40376	133660
232	40615	133698
233	40939	134015
234	41134	133906
235	41316	133751
236	41524	133685
237	41682	133453
238	41904	133427
239	42050	133159
240	42223	132976
241	42366	132702
242	42531	132496
243	42678	132233
244	42865	132096
245	43041	131924
246	43219	131757
247	43479	131842
248	43625	131576
249	43868	131604
250	44028	131383
251	44180	131139
252	44367	130998
253	44521	130760
254	44731	130685
255	44903	130499
256	45086	130346
257	45271	130198
258	45420	129947
259	45592	129763
260	45745	129525
261	45896	129279
262	46073	129110
263	46243	128922
264	46438	128801
265	46609	128615
266	46776	128417
267	46965	128279
268	47143	128111
269	47338	127989
270	47485	127738
271	47640	127507
272	47850	127427
273	48084	127407
274	48421	127656
275	48667	127663
276	48919	127684
277	49118	127566
278	49271	127330
279	49463	127192
280	49642	127020
281	49823	126855
282	50108	126952
283	50301	126816
284	50521	126745
285	50756	126713
286	50951	126580
287	51148	126451
288	51371	126385
289	51570	126259
290	51722	126017
291	51926	125904
292	52101	125718
293	52254	125481
294	52430	125300
295	52595	125090
296	52746	124851
297	52928	124684
298	53075	124434
299	53237	124221
300	53433	124085
301	53600	123885
302	53757	123659
303	53977	123580
304	54167	123431
305	54339	123240
306	54498	123020
307	54688	122872
308	54889	122745
309	55033	122495
310	55199	122290
311	55381	122122
312	55523	121867
313	55735	121765
314	55885	121529
315	56022	121263
316	56205	121099
317	56376	120907
318	56514	120646
319	56681	120448
320	56851	120256
321	57011	120042
322	57182	119852
323	57336	119627
324	57473	119367
325	57646	119184
326	57822	119005
327	57969	118766
328	58123	118543
329	58295	118357
330	58442	118121
331	58617	117941
332	58785	117747
333	58951	117550
334	59119	117356
335	59274	117138
336	59436	116933
337	59596	116723
338	59740	116484
339	59909	116294
340	60083	116115
341	60251	115922
342	60395	115684
343	60565	115496
344	60693	115228
345	60875	115065
346	61087	114957
347	61247	114750
348	61408	114547
349	61569	114342
350	61753	114182
351	61895	113944
352	62050	113729
353	62222	113547
354	62371	113322
355	62513	113087
356	62674	112884
357	62825	112664
358	62967	112429
359	63098	112174
360	63275	112003
361	63427	111787
362	63581	111574
363	63735	111361
364	63883	111139
365	64060	110967
366	64255	110827
367	64430	110652
368	64603	110473
369	64758	110263
370	64912	110054
371	65063	109839
372	65218	109630
373	65378	109429
374	65554	109257
375	65714	109057
376	65871	108854
377	66031	108654
378	66197	108466
379	66349	108255
380	66520	108074
381	66679	107874
382	66829	107659
383	66969	107430
384	67137	107246
385	67287	107033
386	67432	106811
387	67583	106600
388	67738	106397
389	67879	106170
390	68013	105934
391	68217	105806
392	68388	105628
393	68620	105542
394	68820	105408
395	69075	105357
396	69485	105541
397	69637	105331
398	69827	105178
399	70018	105028
400	70156	104797
401	70313	104595
402	70485	104417
403	70654	104232
404	70803	104019
405	70971	103834
406	71148	103663
407	71317	103479
408	71499	103315
409	71673	103139
410	71831	102941
411	72052	102831
412	72237	102672
413	72409	102492
414	72593	102330
415	72784	102178
416	72957	101999
417	73128	101819
418	73317	101664
419	73478	101470
420	73624	101254
421	73796	101076
422	73973	100904
423	74122	100694
424	74274	100488
425	74463	100333
426	74663	100192
427	74901	100101
428	75080	99932
429	75296	99811
430	75559	99752
431	75735	99577
432	75918	99413
433	76094	99238
434	76244	99029
435	76428	98865
436	76630	98725
437	76849	98605
438	77081	98502
439	77368	98468
440	77526	98271
441	77714	98110
442	77849	97882
443	78014	97693
444	78178	97503
445	78390	97372
446	78575	97208
447	78979	97314
448	79242	97244
449	79488	97152
450	79641	96947
451	79850	96809
452	80007	96609
453	80153	96395
454	80305	96189
455	80467	95996
456	80617	95788
457	80761	95574
458	80930	95388
459	81128	95237
460	81286	95040
461	81471	94873
462	81645	94694
463	81786	94477
464	82029	94378
465	82194	94189
466	82330	93966
467	82489	93770
468	82657	93584
469	82811	93382
470	82947	93162
471	83110	92971
472	83267	92773
473	83407	92557
474	83543	92337
475	83707	92148
476	83842	91927
477	83982	91713
478	84125	91501
479	84280	91303
480	84420	91090
481	84546	90861
482	84693	90655
483	84884	90496
484	85006	90265
485	85141	90046
486	85266	89818
487	85437	89639
488	85591	89442
489	85741	89241
490	85922	89072
491	86083	88883
492	86235	88683
493	86421	88521
494	86554	88302
495	86711	88110
496	86855	87903
497	87038	87738
498	87212	87562
499	87373	87373
500	87538	87189
501	87715	87016
502	87861	86813
503	88008	86611
504	88186	86440
505	88342	86247
506	88482	86039
507	88636	85844
508	88797	85657
509	88955	85467
510	89128	85291
511	89325	85138
512	89486	84951
513	89660	84776
514	89858	84623
515	90033	84449
516	90180	84250
517	90342	84064
518	90495	83869
519	90643	83670
520	90767	83450
521	90898	83236
522	91041	83034
523	91195	82841
524	91331	82633
525	91465	82423
526	91606	82220
527	91760	82028
528	91886	81811
529	92032	81613
530	92176	81413
531	92347	81238
532	92487	81035
533	92617	80823
534	92786	80646
535	92961	80474
536	93087	80260
537	93244	80072
538	93400	79884
539	93564	79702
540	93717	79512
541	93853	79308
542	94021	79130
543	94174	78940
544	94312	78738
545	94449	78535
546	94583	78329
547	94711	78119
548	94863	77929
549	95003	77730
550	95177	77558
551	95354	77389
